Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
508,52,12/4/19 19:37,12/4/19 18:22,5E+17,Omar Casas,3,Dining Room,Dinner,Take Out,5E+17,5E+17,5E+17,,,Fried Chicken Sandwich,,Dinner Menu,Dinner,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
509,58,12/4/19 19:42,12/4/19 19:41,5E+17,Omar Casas,7,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Banh Matter,,Dinner Menu,Dinner,Food,15,0,15,1,,1.33,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
510,58,12/4/19 19:42,12/4/19 19:41,5E+17,Omar Casas,7,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Rainbow Kale Salad,,Dinner Menu,Dinner,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
511,58,12/4/19 19:42,12/4/19 19:41,5E+17,Omar Casas,7,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
512,58,12/4/19 19:42,12/4/19 19:41,5E+17,Omar Casas,7,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
513,54,12/4/19 19:44,12/4/19 19:06,5E+17,Omar Casas,105,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,0,8.27,1,,0.73,FALSE,FALSE,FALSE,Tax Included,No Effect,
514,54,12/4/19 19:44,12/4/19 19:06,5E+17,Omar Casas,105,Dining Room,Dinner,Take Out,5E+17,5E+17,5E+17,,,Wilted Kale Grain Bowl,,Dinner Menu,Dinner,Food,15,0,15,1,,1.33,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
515,53,12/4/19 19:44,12/4/19 18:54,5E+17,Omar Casas,108,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Ommegang Rare Vos,,Beer,Beverages,Beer,7.35,0,7.35,1,,0.65,FALSE,FALSE,FALSE,Tax Included,No Effect,
516,59,12/4/19 19:48,12/4/19 19:48,5E+17,Omar Casas,902,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,4.14,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
517,59,12/4/19 19:48,12/4/19 19:48,5E+17,Omar Casas,902,Dining Room,Dinner,Dine In,5E+17,5E+17,5E+17,,,Threes Logical Conclusion,,Beer,Beverages,Beer,8.27,4.14,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
